list::1::Owner Names,list::1::Address,image::1::1,location::1::latitude,location::1::longitude,image::1::2,image::1::3,image::1::4,image::1::5,image::1::6,image::1::7,image::1::8,image::1::9,list::1::Brokerage,list::1::Asking Rate,list::1::Parking Ratio,list::1::Total Building SF,list::1::Prime SF Available,list::1::Sublet SF Available,icon::1::Food Service,icon::1::Fitness Center,notes::1::Notes,icon::1::Conference Facility,icon::1::Outdoor Environment,list::1::Max Building Contiguous Space
The JBG Companies,12100 Sunset Hills Rd,,38.954855,-77.363695,,,,,,,,,CBRE,32.27,3,210533,50409,0,x,x," Courtyard, , Fitness Center, Food Service, ",,x,20305
The JBG Companies,12110 Sunset Hills Rd,,38.955546,-77.364312,,,,,,,,,CBRE,24,3,139176,8899,5000,x,x,", Courtyard,  Fitness Center, Food Service, ",,x,8899
The JBG Companies,12120 Sunset Hills Rd,,38.955127,-77.364938,,,,,,,,,CBRE,29.31,3,139453,10112,0,x,x,", Courtyard, Fitness Center, Food Service, ",,x,6534
Reston Hospital Center Llc,1850 Town Center Dr,,38.962641,-77.363919,,,,,,,,,Health-Pro Realty Group,38,5.83,100000,60000,0,,,,,,25000
Brandywine Realty Trust,196 Van Buren St,,38.954026,-77.387509,,,,,,,,,Brandywine Realty Trust,28.5,3.6,100103,24531,0,,,,,,20153
Brandywine Realty Trust,198 Van Buren St,,38.95378,-77.386224,,,,,,,,,Brandywine Realty Trust,28.5,3.4,101169,14372,0,,,,,,9135
Cambridge Property Group LLC,205 Van Buren St,,38.955676,-77.38902,,,,,,,,,Cambridge Property Group LLC,26,3.6,129368,45156,0,x,x," Fitness Center, Food Service",,,12094
TA Realty,13221 Woodland Park Rd,,38.952721,-77.402478,,,,,,,,,Avison Young,28.5,3.84,127585,27012,0,,,,,,22405
SEB Immobilien-Investment Group GMBH,13241 Woodland Park Rd,,38.952291,-77.40313,,,,,,,,,JLL,29,3.8,132263,65844,12247,,,,,,23738
TA Realty,12930 Worldgate Dr,,38.956409,-77.397361,,,,,,,,,JLL,33,3.32,193138,178146,140648,x,x," Fitness Center,  Restaurant, ",,,178146
Washington Real Estate Investment Trust,12950 Worldgate Dr,,38.956662,-77.398174,,,,,,,,,Avison Young,33,3.6,205000,25314,8475,,x,"Fitness Center, ",,,11539
"Stream Realty Partners, L.P.",381 Elden St,,38.96679,-77.374615,,,,,,,,,"Stream Realty Partners, L.P.",Withheld,5.2,186464,81641,0,,x," Conferencing Facility,  Fitness Center, ",x,,66069
"Boston Properties, Inc.",11951 Freedom Dr,,38.959123,-77.358768,,,,,,,,,Prospective Inc.,Withheld,4,447384,39222,22068,x,, Restaurant,,,26615
"Boston Properties, Inc.",1818 Library St,,38.958347,-77.358838,,,,,,,,,Prospective Inc.,Withheld,1.2,250000,13356,105528,,x,"Conferencing Facility, Fitness Center",x,,100528
"American Real Estate Partners Management, LLC.",11800 Sunrise Valley Dr,,38.9495,-77.355135,,,,,,,,,"American Real Estate Partners Management, LLC.",Withheld,3,179279,48789,0,x,,"Conferencing Facility, Courtyard, Food Service, ",x,x,12819
CoreSite,12100 Sunrise Valley Dr,,38.950677,-77.364544,,,,,,,,,CoreSite Realty Corporation,Withheld,4,285000,67693,0,,,,,,47693
Normandy Real Estate Partners,13865 Sunrise Valley Dr,,38.950501,-77.421127,,,,,,,,,Avison Young,Withheld,4,200792,52982,0,x,x,"Fitness Center, Food Service, ",,,31880
Meridian Group,11111 Sunset Hills Rd,,38.946078,-77.330555,,,,,,,,,Cushman & Wakefield,Withheld,4.75,216239,41331,0,x,x,"Conferencing Facility, Fitness Center, Food Service, ",x,,41331
"Boston Properties, Inc.",12010 Sunset Hills Rd,,38.956089,-77.35649,,,,,,,,,"Boston Properties, Inc.",-,3.5,188437,0,113133,,,,,,67921
"Boston Properties, Inc.",12021 Sunset Hills Rd,,38.954082,-77.357994,,,,,,,,,Prospective Inc.,Withheld,3,134615,3888,0,x,, Food Service,,,3888
First Potomac Realty Trust,1775 Wiehle Ave,,38.952992,-77.334053,,,,,,,,,First Potomac Realty Trust,-,3.6,130048,0,10724,,,,,,10724
Federal Capital Partners,13200 Woodland Park Rd,,38.954799,-77.404155,,,,,,,,,Cushman & Wakefield,Withheld,4,403533,400677,0,,,,,,400677
